Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL106,AL106-2,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO031-18,MG586253,,,,Oceania,Fiji,Qamea Island,unknown,-16.7646,-179.7615,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL106,AL106-3,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO032-18,MG586255,,,,Oceania,Fiji,Qamea Island,unknown,-16.7646,-179.7615,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL106,AL106-1,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,0,,excluded (overrepresentation),Clade 3,Tropical I,CTENO033-18,MG586251,,,,Oceania,Fiji,Qamea Island,unknown,-16.7646,-179.7615,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1060,AL1060-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO034-18,MG586250,,,,Europe,Austria,Lower Austria,Neulengbach,48.1994,15.9088,Felis catus,cat,21-June-2016,Caroline Marschner & Robert Heger,
AL1061,AL1061-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h9,included,Clade 2,Temperate,CTENO035-18,MG586252,,,,Europe,Austria,Lower Austria,Neulengbach,48.1994,15.9088,Felis catus,cat,23-June-2016,Caroline Marschner & Robert Heger,
AL1062,AL1062-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO036-18,MG586254,,,,Europe,Austria,Lower Austria,Neulengbach,48.1994,15.9088,Felis catus,cat,25-June-2016,Caroline Marschner & Robert Heger,
AL1064,AL1064-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO037-18,MG586256,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL1067,AL1067-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO038-18,MG586257,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL1069,AL1069-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO039-18,MG586258,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL107,AL107-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO040-18,MG586259,,,,Oceania,Fiji,Qamea Island,unknown,-16.7646,-179.7615,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL107,AL107-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h14,included,Clade 3,Tropical I,CTENO041-18,MG586260,,,,Oceania,Fiji,Qamea Island,unknown,-16.7646,-179.7615,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1077,AL1077-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO042-18,MG586261,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL1078,AL1078-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO043-18,MG586262,,,,Europe,Italy,Sicily,Messina,38.1938,15.5540,Felis catus,cat,01-April-2016,Ettore Napoli,
AL108,AL108-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO044-18,MG586263,,,,Oceania,Fiji,Taveuni Island,unknown,-16.8414,-179.9813,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1080,AL1080-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h10,included,,,CTENO045-18,MG586264,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1081,AL1081-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h10,included,,,CTENO046-18,MG586265,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1082,AL1082-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO047-18,MG586266,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1085,AL1085-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO048-18,MG586267,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL1088,AL1088-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO049-18,MG586268,,,,Asia,South Korea,Gangwon Province,"Kangwon National University, Chuncheon",37.8700,127.7434,Canis lupus familiaris,owned dog,01-July-2016,Changbaig Hyun,
AL109,AL109-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO050-18,MG586269,,,,Oceania,Fiji,Taveuni Island,unknown,-16.8414,-179.9813,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1090,AL1090-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO051-18,MG586270,,,,Asia,Taiwan,Hsinchu County,Zhudong Township,24.7749,121.0450,Felis catus,owned cat,16-July-2016,Samantha Hsiang Ju Yang,
AL1095,AL1095-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO052-18,MG586271,,,,Asia,Taiwan,Hsinchu County,Zhudong Township,24.7749,121.0450,Canis lupus familiaris,owned dog,16-July-2016,Samantha Hsiang Ju Yang,
AL1096,AL1096-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO053-18,MG586272,,,,Asia,Taiwan,Hsinchu County,Zhudong Township,24.7749,121.0450,Canis lupus familiaris,owned dog,16-July-2016,Samantha Hsiang Ju Yang,
AL1097,AL1097-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO054-18,MG586273,,,,Asia,Taiwan,Miaoli County,Zhunan Township,24.7009,120.8786,Canis lupus familiaris,owned dog,16-July-2016,Samantha Hsiang Ju Yang,
AL1099,AL1099-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO055-18,MG586274,,,,Asia,Taiwan,Miaoli County,Zhunan Township,24.7009,120.8786,Canis lupus familiaris,owned dog,16-July-2016,Samantha Hsiang Ju Yang,
AL110,AL110-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h15,included,Clade 3,Tropical I,CTENO056-18,MG586275,,,,Oceania,Fiji,Qamea Island,Naiviivi village,-16.7714,-179.7880,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1100,AL1100-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO057-18,MG586276,,,,Asia,Taiwan,Miaoli County,Toufen City,24.6884,120.9025,Felis catus,owned cat,16-July-2016,Samantha Hsiang Ju Yang,
AL1101,AL1101-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO058-18,MG586277,,,,Asia,Taiwan,Hsinchu County,Wufeng Township,24.5915,121.1481,Canis lupus familiaris,owned dog,16-July-2016,Samantha Hsiang Ju Yang,
AL1102,AL1102-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h16,included,Clade 6,Tropical II,CTENO059-18,MG586278,,,,Asia,Taiwan,Miaoli County,Miaoli City,24.5712,120.8154,Felis catus,owned cat,16-July-2016,Samantha Hsiang Ju Yang,
AL1104,AL1104-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h16,included,Clade 6,Tropical II,CTENO060-18,MG586279,,,,Asia,Taiwan,Miaoli County,Nanzhuang Township,24.5803,121.0106,Felis catus,owned cat,16-July-2016,Samantha Hsiang Ju Yang,
AL1105,AL1105-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO061-18,MG586280,,,,Asia,Taiwan,Taipei City,Neihu District,25.0689,121.5909,Felis catus,owned cat,16-July-2016,Samantha Hsiang Ju Yang,
AL1107,AL1107-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO062-18,MG586281,,,,Asia,Japan,Kanagawa Prefecture,Hayama,35.2721,139.5862,Felis catus,owned cat,01-August-2016,Quintin Lau,
AL1107,AL1107-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO063-18,MG586282,,,,Asia,Japan,Kanagawa Prefecture,Hayama,35.2721,139.5862,Felis catus,owned cat,01-August-2016,Quintin Lau,
AL1107,AL1107-3,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO064-18,MG586283,,,,Asia,Japan,Kanagawa Prefecture,Hayama,35.2721,139.5862,Felis catus,owned cat,01-August-2016,Quintin Lau,
AL1108,AL1108-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO065-18,MG586284,,,,Asia,Japan,Kanagawa Prefecture,Hayama,35.2721,139.5862,Canis lupus familiaris,owned dog,01-August-2016,Quintin Lau,
AL1109,AL1109-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO066-18,MG586285,,,,Asia,Japan,Kanagawa Prefecture,Hayama,35.2721,139.5862,Canis lupus familiaris,owned dog,01-August-2016,Quintin Lau,
AL1109,AL1109-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO067-18,MG586286,,,,Asia,Japan,Kanagawa Prefecture,Hayama,35.2721,139.5862,Canis lupus familiaris,owned dog,01-August-2016,Quintin Lau,
AL111,AL111-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO068-18,MG586287,,,,Oceania,Fiji,Qamea Island,Naiviivi village,-16.7714,-179.7880,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL1110,AL1110-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO069-18,MG586288,,,,Europe,Estonia,Tartu County,Tartu,58.3776,26.7290,Canis lupus familiaris,stray dog,12-July-2016,Lea Tummeleht,
AL1110,AL1110-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO070-18,MG586289,,,,Europe,Estonia,Tartu County,Tartu,58.3776,26.7290,Canis lupus familiaris,stray dog,12-July-2016,Lea Tummeleht,
AL1110,AL1110-3,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO071-18,MG586290,,,,Europe,Estonia,Tartu County,Tartu,58.3776,26.7290,Canis lupus familiaris,stray dog,12-July-2016,Lea Tummeleht,
AL1110,AL1110-4,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO072-18,MG586291,,,,Europe,Estonia,Tartu County,Tartu,58.3776,26.7290,Canis lupus familiaris,stray dog,12-July-2016,Lea Tummeleht,
AL1110,AL1110-5,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO073-18,MG586292,,,,Europe,Estonia,Tartu County,Tartu,58.3776,26.7290,Canis lupus familiaris,stray dog,12-July-2016,Lea Tummeleht,
AL1111,AL1111-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO074-18,MG586293,,,,North America,Costa Rica,Puntarenas Province,Peninsula de Osa,8.5609,-83.4644,Canis lupus familiaris,free-roaming dog,01-July-2016,Andrei Mihalca,
AL1112,AL1112-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h18,included,Clade 2,Temperate,CTENO075-18,MG586294,,,,Asia,Russia,Primorsky Krai,Vladivostok,43.1198,131.8869,Felis catus,cats,01-July-2016,Tatyana Vladimirovna Moskvina,
AL1113,AL1113-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO076-18,MG586295,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-10,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO077-18,MG586296,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-11,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO078-18,MG586297,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-2,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO079-18,MG586298,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-3,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO080-18,MG586299,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-4,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO081-18,MG586300,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-5,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO082-18,MG586301,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-6,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO083-18,MG586302,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-7,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO084-18,MG586303,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-8,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO085-18,MG586304,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1113,AL1113-9,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h19,included,Clade 6,Tropical II,CTENO086-18,MG586305,,,,Africa,Liberia,Sinoe County,Sapo National Park,5.4603,-8.4404,Canis lupus familiaris,dogs,01-December-2016,Andrei Mihalca,
AL1114,AL1114-1,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO087-18,MG586306,,,,Asia,Vietnam,__k L_k Province,Bu�n Ma Thu_t,12.6662,108.0382,Felis catus,cat,02-March-2017,Rebecca Traub,"No voucher, DNA supplied only "
AL1114,AL1114-2,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO088-18,MG586307,,,,Asia,Vietnam,__k L_k Province,Bu�n Ma Thu_t,12.6662,108.0382,Felis catus,cat,02-March-2017,Rebecca Traub,"No voucher, DNA supplied only "
AL112,AL112-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO089-18,MG586308,,,,Oceania,Tonga,Tongatapu Island,Nukuleka,-21.1512,-175.1252,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL113,AL113-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO090-18,MG586309,,,,Oceania,Tonga,Tongatapu Island,Nukuleka,-21.1512,-175.1252,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL114,AL114-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO091-18,MG586310,,,,Oceania,Tonga,Tongatapu Island,Nukuleka,-21.1512,-175.1252,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL115,AL115-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO092-18,MG586311,,,,Oceania,Tonga,Tongatapu Island,Nukuleka,-21.1512,-175.1252,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL116,AL116-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO093-18,MG586312,,,,Oceania,Fiji,Matangi Island,Matangi resort,-16.7344,-179.7440,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL117,AL117-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h2,included,Clade 3,Tropical I,CTENO094-18,MG586313,,,,Oceania,Fiji,Matangi Island,Matangi resort,-16.7344,-179.7440,Canis lupus familiaris,free-roaming dog,01-May-2013,Graeme Brown,
AL143,AL143-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO095-18,MG586314,,,,Oceania,Fiji,Viti Levu island,Nadi,-17.7765,177.4356,Canis lupus familiaris,stray dog,01-May-2013,Graeme Brown,
AL166,AL166-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO096-18,MG586315,,,,Oceania,Fiji,Viti Levu island,Nadi,-17.7765,177.4356,Canis lupus familiaris,stray dog,01-May-2013,Graeme Brown,
AL215,AL215-1,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h20,included,Clade 7,African,CTENO097-18,MG586316,MG586675,,,Africa,Kenya,"Marsabit County, Eastern Province",Mt Kulal,2.7504,36.9347,Canis lupus familiaris,dog,2006,David Modry & Andrei Mihalca,
AL215,AL215-2,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h21,included,Clade 7,African,CTENO098-18,MG586317,MG586676,,,Africa,Kenya,"Marsabit County, Eastern Province",Mt Kulal,2.7504,36.9347,Canis lupus familiaris,dog,2006,David Modry & Andrei Mihalca,
AL216,AL216-1,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h20,included,Clade 7,African,CTENO099-18,MG586318,MG586677,,,Africa,Kenya,"Marsabit County, Eastern Province",Mt Kulal,2.7504,36.9347,Canis lupus familiaris,dog,2006,David Modry & Andrei Mihalca,
AL217,AL217-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h21,included,Clade 7,African,CTENO100-18,MG586319,MG586678,,,Africa,Kenya,"Marsabit County, Eastern Province",Mt Kulal,2.7504,36.9347,Canis lupus familiaris,dog,2006,David Modry & Andrei Mihalca,
AL217,AL217-2,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h20,included,Clade 7,African,CTENO101-18,MG586320,,,,Africa,Kenya,"Marsabit County, Eastern Province",Mt Kulal,2.7504,36.9347,Canis lupus familiaris,dog,2006,David Modry & Andrei Mihalca,
AL218,AL218-1,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h22,included,Clade 5,Tropical II,CTENO102-18,MG586321,MG586679,,,Africa,Guinea Bissau,Bijagos Islands,unknown,11.2905,-15.9708,Canis lupus familiaris,dog,2013,David Modry & Andrei Mihalca,
AL219,AL219-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h22,included,Clade 5,Tropical II,CTENO103-18,MG586322,MG586680,,,Africa,Guinea Bissau,Bijagos Islands,unknown,11.2905,-15.9708,Canis lupus familiaris,dog,2013,David Modry & Andrei Mihalca,
AL222,AL222-1,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h22,included,Clade 5,Tropical II,CTENO104-18,MG586323,,,,Africa,Guinea Bissau,Bijagos Islands,unknown,11.2905,-15.9708,Canis lupus familiaris,dog,2013,David Modry & Andrei Mihalca,
AL229,AL229-1,Ctenocephalides felis,strongylus,1,0,1,1,1,0,1,1,h22,included,Clade 5,Tropical II,CTENO105-18,MG586324,,,,Africa,Guinea Bissau,Bijagos Islands,unknown,11.2905,-15.9708,Canis lupus familiaris,dog,2013,David Modry & Andrei Mihalca,
AL230,AL230-1,Ctenocephalides felis,strongylus,1,1,0,1,1,1,1,1,h22,included,Clade 5,Tropical II,CTENO106-18,MG586325,MG586681,MG586767,MG586745,Africa,Guinea Bissau,Bijagos Islands,unknown,11.2905,-15.9708,Canis lupus familiaris,dog,2013,David Modry & Andrei Mihalca,
AL231,AL231-1,Ctenocephalides felis,"""transitional""",1,1,0,1,1,0,1,1,h22,included,Clade 5,Tropical II,CTENO107-18,MG586326,MG586682,,,Africa,Guinea Bissau,Bijagos Islands,unknown,11.2905,-15.9708,Canis lupus familiaris,dog,2013,David Modry & Andrei Mihalca,
AL232,AL232-1,Ctenocephalides felis,strongylus,1,1,0,1,1,0,1,1,h22,included,Clade 5,Tropical II,CTENO108-18,MG586327,MG586683,,,Africa,Guinea Bissau,Bijagos Islands,unknown,11.2905,-15.9708,Canis lupus familiaris,dog,2013,David Modry & Andrei Mihalca,
AL236,AL236-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h23,included,Clade 1,Temperate,CTENO109-18,MG586328,,,,Oceania,Australia,South Australia,Kangaroo Island,-35.7752,137.2142,Felis catus,feral cat,01-February-2014,Alan Marcus,
AL241,AL241-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO110-18,MG586329,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Canis lupus familiaris,dog,01-January-2014,Graeme Brown,
AL242,AL242-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h3,included,Clade 6,Tropical II,CTENO111-18,MG586330,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Canis lupus familiaris,dog,03-January-2014,Graeme Brown,
AL244,AL244-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h24,included,Clade 1,Temperate,CTENO112-18,KY048347.1,KY048303.1,,,Oceania,New Zealand,Wellington Region,Raumati Beach,-40.9190,174.9818,Felis catus,cat,01-January-2014,Andrea Wilson,"Chandra, S., Forsyth, M., Lawrence, A.L., Emery, D., _lapeta, J., 2017. Cat fleas (Ctenocephalides felis) from cats and dogs in New Zealand: molecular characterisation, presence of Rickettsia felis and Bartonella clarridgeiae and comparison with Australia. Vet. Parasitol. 234, 25-30."
